epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33178,2.07079,3.10624,3.4366,1.54656,0.01833,0.1746,0.01671,0.00613,0.01656,0.15767,0.01537,0.00652,1.64937,2.50209,3.36456,1.39747,2e-05,2e-05,2e-05
2,7.70875,2.19468,2.97869,3.49104,1.57604,0.01789,0.17037,0.01652,0.00593,0.01556,0.14815,0.01489,0.00569,1.68585,2.63169,3.36239,1.41569,5.9406e-05,5.9406e-05,5.9406e-05
3,10.2291,2.20401,3.08748,3.45697,1.58104,0.01733,0.16508,0.01345,0.00488,0.01533,0.14603,0.0121,0.00522,1.71308,2.74773,3.3598,1.42801,9.802e-05,9.802e-05,9.802e-05
4,14.0187,2.1604,2.99942,3.43798,1.57425,0.02722,0.25926,0.02469,0.01361,0.02744,0.26138,0.02596,0.01388,1.33207,1.98374,3.29279,1.2208,0.000135842,0.000135842,0.000135842
5,17.1634,1.36478,1.52978,3.12975,1.16077,0.05389,0.51323,0.11379,0.08612,0.05422,0.5164,0.11479,0.0831,1.00527,1.13215,3.17306,0.98891,0.000172872,0.000172872,0.000172872
6,20.3967,1.07494,1.11948,2.85934,0.96711,0.07811,0.74392,0.19834,0.15725,0.07844,0.74709,0.19971,0.14719,0.87838,0.85558,3.03754,0.88315,0.00020911,0.00020911,0.00020911
7,24.5003,0.9357,0.8263,2.39097,0.9093,0.09511,0.90582,0.30279,0.24097,0.096,0.91429,0.30496,0.22851,0.79704,0.80269,2.85552,0.8316,0.000244556,0.000244556,0.000244556
8,26.4856,0.8928,0.90721,1.74902,0.87858,0.97675,0.17783,0.36843,0.25531,0.9769,0.179,0.36884,0.23766,0.87956,0.81065,2.63829,0.83847,0.00027921,0.00027921,0.00027921
9,31.0923,0.904,0.93329,1.4758,0.86212,0.96574,0.2088,0.45127,0.31132,0.96574,0.2088,0.45184,0.28807,0.9301,0.83134,2.53229,0.85216,0.000313072,0.000313072,0.000313072
10,33.6907,0.84435,0.82083,1.13811,0.861,0.96318,0.23386,0.61594,0.44686,0.96318,0.23386,0.61547,0.39802,0.92273,0.78044,2.39651,0.8534,0.000346142,0.000346142,0.000346142
11,35.9695,0.85495,0.78187,0.99033,0.85641,0.98411,0.32777,0.77596,0.57894,0.98411,0.32777,0.77255,0.49974,0.87158,0.79247,2.26992,0.84337,0.00037842,0.00037842,0.00037842
12,39.1943,0.87374,0.83583,0.94453,0.85762,0.99503,0.4234,0.86127,0.63238,0.99254,0.42235,0.8514,0.52281,0.84636,0.8051,2.16798,0.84181,0.000409906,0.000409906,0.000409906
13,41.9834,0.71074,0.61218,0.78166,0.84768,0.99321,0.46438,0.88138,0.63702,0.99321,0.46438,0.86978,0.51043,0.87039,0.82628,2.09222,0.85627,0.0004406,0.0004406,0.0004406
14,46.375,0.72165,0.69743,0.75905,0.85012,0.99558,0.47665,0.9155,0.68812,0.99558,0.47665,0.90315,0.5317,0.8703,0.83477,1.99648,0.86732,0.000470502,0.000470502,0.000470502
15,50.1573,0.70559,0.62118,0.75995,0.84814,0.99475,0.60166,0.94565,0.73374,0.99475,0.60166,0.93817,0.56484,0.83674,0.76572,1.82344,0.86859,0.000499612,0.000499612,0.000499612
16,52.6339,0.71146,0.63958,0.72249,0.8481,0.98851,0.7284,0.95984,0.75371,0.98851,0.7284,0.95676,0.58615,0.82378,0.73519,1.66799,0.86974,0.00052793,0.00052793,0.00052793
17,55.9481,0.65813,0.63375,0.68031,0.84853,0.97756,0.82993,0.95988,0.75383,0.97382,0.82676,0.9556,0.58922,0.8155,0.73891,1.53133,0.87494,0.000555456,0.000555456,0.000555456
18,60.8543,0.75449,0.72902,0.73761,0.86104,0.95025,0.8963,0.95649,0.77014,0.94801,0.89418,0.95321,0.60432,0.74313,0.72829,1.39624,0.85791,0.00058219,0.00058219,0.00058219
19,63.6737,0.68234,0.59847,0.66374,0.861,0.90874,0.90617,0.93882,0.75289,0.90456,0.9037,0.93561,0.56311,0.74074,0.70653,1.29382,0.86031,0.000608132,0.000608132,0.000608132
20,68.1153,0.69544,0.64064,0.65194,0.86894,0.91585,0.92136,0.95539,0.74603,0.90428,0.90972,0.94371,0.54168,0.79568,0.69132,1.16855,0.87122,0.000633282,0.000633282,0.000633282
21,72.0894,0.64834,0.59069,0.67557,0.86784,0.92427,0.95573,0.96824,0.77714,0.91506,0.94621,0.96222,0.58515,0.72125,0.70093,1.05596,0.84933,0.00065764,0.00065764,0.00065764
22,74.3773,0.7319,0.7015,0.67027,0.85941,0.94838,0.97037,0.98323,0.79364,0.94631,0.96825,0.98212,0.64807,0.71003,0.69284,0.99306,0.83812,0.000681206,0.000681206,0.000681206
23,76.8022,0.69022,0.69717,0.6228,0.84699,0.95644,0.98201,0.98224,0.79509,0.95644,0.98201,0.98224,0.64397,0.70013,0.67218,0.93291,0.83771,0.00070398,0.00070398,0.00070398
24,80.498,0.69855,0.63886,0.62647,0.85178,0.95607,0.98307,0.97569,0.77922,0.95504,0.98201,0.97511,0.60254,0.73035,0.67074,0.88315,0.84674,0.000725962,0.000725962,0.000725962
25,82.6791,0.69136,0.66519,0.6083,0.85353,0.94332,0.98632,0.96733,0.76936,0.94231,0.98526,0.96653,0.59565,0.73538,0.69363,0.85252,0.84739,0.000747152,0.000747152,0.000747152
26,87.9362,0.68419,0.67952,0.60643,0.84373,0.93252,0.98519,0.95844,0.76479,0.93152,0.98413,0.95732,0.62865,0.7177,0.68402,0.85979,0.83827,0.00076755,0.00076755,0.00076755
27,91.8044,0.62179,0.60734,0.60069,0.83734,0.92744,0.98942,0.94927,0.77076,0.92645,0.98836,0.94824,0.62153,0.69642,0.68612,0.83855,0.83605,0.000787156,0.000787156,0.000787156
28,96.5483,0.65314,0.60217,0.61737,0.84932,0.92744,0.98942,0.94927,0.77076,0.92645,0.98836,0.94824,0.62153,0.69642,0.68612,0.83855,0.83605,0.00080597,0.00080597,0.00080597
29,98.9866,0.65122,0.5799,0.57876,0.8452,0.92444,0.98519,0.9503,0.77981,0.92444,0.98519,0.9503,0.60224,0.66983,0.68466,0.78849,0.8381,0.000823992,0.000823992,0.000823992
30,103.787,0.63599,0.64813,0.57531,0.83931,0.93373,0.984,0.95315,0.77708,0.93172,0.98188,0.95256,0.60679,0.68487,0.69673,0.76104,0.84227,0.000841222,0.000841222,0.000841222
31,106.109,0.644,0.62182,0.62339,0.85403,0.93373,0.984,0.95315,0.77708,0.93172,0.98188,0.95256,0.60679,0.68487,0.69673,0.76104,0.84227,0.00085766,0.00085766,0.00085766
32,108.286,0.6472,0.55773,0.62791,0.85035,0.95098,0.98536,0.98136,0.80502,0.94996,0.9843,0.98038,0.64407,0.66723,0.68468,0.74236,0.83437,0.000873306,0.000873306,0.000873306
33,111.248,0.68862,0.63621,0.6428,0.84224,0.96054,0.9873,0.98799,0.8206,0.95951,0.98624,0.98681,0.65099,0.65167,0.67963,0.73869,0.8282,0.00088816,0.00088816,0.00088816
34,113.167,0.63459,0.54906,0.57758,0.83836,0.96054,0.9873,0.98799,0.8206,0.95951,0.98624,0.98681,0.65099,0.65167,0.67963,0.73869,0.8282,0.000902222,0.000902222,0.000902222
35,118.76,0.60843,0.56162,0.673,0.85157,0.96222,0.99577,0.98833,0.8231,0.9612,0.99471,0.9877,0.63713,0.63313,0.69223,0.70389,0.82541,0.000915492,0.000915492,0.000915492
36,123.449,0.60978,0.5608,0.56277,0.84871,0.97304,0.99365,0.99041,0.82757,0.972,0.99259,0.98974,0.64323,0.63572,0.67028,0.68523,0.82609,0.00092797,0.00092797,0.00092797
37,127.571,0.61259,0.6135,0.54975,0.85167,0.97304,0.99365,0.99041,0.82757,0.972,0.99259,0.98974,0.64323,0.63572,0.67028,0.68523,0.82609,0.000939656,0.000939656,0.000939656
38,132.048,0.64437,0.59998,0.5548,0.84258,0.97568,0.98942,0.99115,0.82439,0.97568,0.98942,0.99115,0.67979,0.62575,0.69308,0.69925,0.82034,0.00095055,0.00095055,0.00095055
39,134.682,0.60216,0.60287,0.5486,0.83956,0.97495,0.98845,0.99171,0.8264,0.97495,0.98845,0.99171,0.68295,0.63114,0.79976,0.72075,0.81783,0.000960652,0.000960652,0.000960652
40,137.673,0.6064,0.61768,0.54193,0.83101,0.97495,0.98845,0.99171,0.8264,0.97495,0.98845,0.99171,0.68295,0.63114,0.79976,0.72075,0.81783,0.000969962,0.000969962,0.000969962
41,139.779,0.5866,0.57343,0.52742,0.83213,0.97909,0.99092,0.99126,0.83492,0.97909,0.99092,0.99126,0.64741,0.6096,0.77044,0.71565,0.81368,0.00097848,0.00097848,0.00097848
42,143.109,0.60356,0.54839,0.54438,0.84748,0.98739,0.99399,0.99123,0.83356,0.98739,0.99399,0.99123,0.64004,0.60662,0.64269,0.71058,0.81377,0.000986206,0.000986206,0.000986206
43,147.873,0.59568,0.58045,0.52351,0.84304,0.98739,0.99399,0.99123,0.83356,0.98739,0.99399,0.99123,0.64004,0.60662,0.64269,0.71058,0.81377,0.00099314,0.00099314,0.00099314
44,150.354,0.62233,0.65505,0.55402,0.84058,0.98433,0.9971,0.99093,0.83605,0.98433,0.9971,0.99093,0.66538,0.6048,0.64424,0.716,0.81609,0.000999282,0.000999282,0.000999282
45,152.981,0.61375,0.63362,0.55664,0.83903,0.98433,0.9971,0.99093,0.83605,0.98433,0.9971,0.99093,0.66538,0.6048,0.64424,0.716,0.81609,0.00100463,0.00100463,0.00100463
46,155.659,0.5975,0.59641,0.54074,0.84618,0.98014,0.99247,0.98972,0.83518,0.98014,0.99247,0.98972,0.69254,0.61436,0.64121,0.72773,0.81939,0.00100919,0.00100919,0.00100919
47,161.229,0.60492,0.63924,0.54551,0.83129,0.98014,0.99247,0.98972,0.83518,0.98014,0.99247,0.98972,0.69254,0.61436,0.64121,0.72773,0.81939,0.00101296,0.00101296,0.00101296
48,163.432,0.60547,0.62815,0.52023,0.84222,0.97338,0.99048,0.98936,0.84387,0.97338,0.99048,0.98936,0.6722,0.58801,0.61925,0.70381,0.81796,0.00101593,0.00101593,0.00101593
49,165.94,0.6234,0.66522,0.52178,0.84829,0.97338,0.99048,0.98936,0.84387,0.97338,0.99048,0.98936,0.6722,0.58801,0.61925,0.70381,0.81796,0.00101811,0.00101811,0.00101811
50,169.251,0.57594,0.51451,0.50311,0.84071,0.98018,0.9941,0.99113,0.85584,0.98018,0.9941,0.99113,0.67462,0.56727,0.61833,0.6906,0.81402,0.0010195,0.0010195,0.0010195
51,172.779,0.60986,0.60202,0.50042,0.8418,0.98018,0.9941,0.99113,0.85584,0.98018,0.9941,0.99113,0.67462,0.56727,0.61833,0.6906,0.81402,0.00101,0.00101,0.00101
52,176.134,0.6435,0.6553,0.52714,0.83641,0.98847,0.99778,0.9923,0.84031,0.98847,0.99778,0.9923,0.69035,0.6166,0.62555,0.66951,0.81786,0.0009902,0.0009902,0.0009902
53,178.299,0.61307,0.60352,0.51005,0.83951,0.98847,0.99778,0.9923,0.84031,0.98847,0.99778,0.9923,0.69035,0.6166,0.62555,0.66951,0.81786,0.0009704,0.0009704,0.0009704
54,182.478,0.63486,0.62103,0.56753,0.83836,0.99312,0.99788,0.99285,0.8408,0.99312,0.99788,0.99285,0.66658,0.60252,0.62113,0.62947,0.81524,0.0009506,0.0009506,0.0009506
55,184.916,0.62705,0.57543,0.50734,0.83893,0.99312,0.99788,0.99285,0.8408,0.99312,0.99788,0.99285,0.66658,0.60252,0.62113,0.62947,0.81524,0.0009308,0.0009308,0.0009308
56,188.573,0.58903,0.58249,0.49822,0.83084,0.99315,1,0.99293,0.85127,0.99315,1,0.99293,0.62812,0.5761,0.60842,0.56918,0.81436,0.000911,0.000911,0.000911
57,192.673,0.57668,0.56097,0.56101,0.83887,0.99315,1,0.99293,0.85127,0.99315,1,0.99293,0.62812,0.5761,0.60842,0.56918,0.81436,0.0008912,0.0008912,0.0008912
58,195.046,0.6266,0.56519,0.51435,0.84434,0.99535,1,0.99372,0.8577,0.99535,1,0.99372,0.64668,0.56761,0.60756,0.52929,0.81608,0.0008714,0.0008714,0.0008714
59,198.046,0.58916,0.5997,0.5073,0.84155,0.99535,1,0.99372,0.8577,0.99535,1,0.99372,0.64668,0.56761,0.60756,0.52929,0.81608,0.0008516,0.0008516,0.0008516
60,202.71,0.57886,0.53234,0.48649,0.82855,0.99651,1,0.99406,0.85941,0.99651,1,0.99406,0.68175,0.58184,0.59944,0.53545,0.81769,0.0008318,0.0008318,0.0008318
61,206.898,0.55687,0.55933,0.48173,0.83665,0.99651,1,0.99406,0.85941,0.99651,1,0.99406,0.68175,0.58184,0.59944,0.53545,0.81769,0.000812,0.000812,0.000812
62,210.602,0.5509,0.5794,0.49873,0.84214,0.99253,1,0.99404,0.86404,0.99253,1,0.99404,0.69009,0.57765,0.59213,0.55624,0.81845,0.0007922,0.0007922,0.0007922
63,213.759,0.57354,0.58094,0.49889,0.82686,0.99253,1,0.99404,0.86404,0.99253,1,0.99404,0.69009,0.57765,0.59213,0.55624,0.81845,0.0007724,0.0007724,0.0007724
64,216.504,0.59042,0.59024,0.49331,0.83254,0.99046,1,0.99302,0.86685,0.99046,1,0.99302,0.67098,0.55807,0.59504,0.56309,0.8139,0.0007526,0.0007526,0.0007526
65,221.045,0.54028,0.54105,0.52053,0.84369,0.99046,1,0.99302,0.86685,0.99046,1,0.99302,0.67098,0.55807,0.59504,0.56309,0.8139,0.0007328,0.0007328,0.0007328
66,225.036,0.58778,0.59278,0.4832,0.83366,0.99124,1,0.9927,0.86539,0.99124,1,0.9927,0.67247,0.55318,0.59012,0.54879,0.81057,0.000713,0.000713,0.000713
67,229.886,0.5785,0.57056,0.48596,0.83451,0.99124,1,0.9927,0.86539,0.99124,1,0.9927,0.67247,0.55318,0.59012,0.54879,0.81057,0.0006932,0.0006932,0.0006932
68,233.207,0.57147,0.57909,0.50314,0.83552,0.99345,1,0.99399,0.86872,0.99345,1,0.99399,0.6875,0.55415,0.5857,0.51663,0.80955,0.0006734,0.0006734,0.0006734
69,236.596,0.54846,0.54867,0.48881,0.84376,0.99345,1,0.99399,0.86872,0.99345,1,0.99399,0.6875,0.55415,0.5857,0.51663,0.80955,0.0006536,0.0006536,0.0006536
70,238.991,0.5769,0.56773,0.59144,0.84196,0.9965,1,0.99418,0.86954,0.9965,1,0.99418,0.68363,0.54978,0.5761,0.48707,0.81046,0.0006338,0.0006338,0.0006338
71,243.828,0.58453,0.61969,0.54006,0.82071,0.9965,1,0.99418,0.86954,0.9965,1,0.99418,0.68363,0.54978,0.5761,0.48707,0.81046,0.000614,0.000614,0.000614
72,248.821,0.55441,0.53539,0.45994,0.8345,0.99665,1,0.99417,0.86559,0.99665,1,0.99417,0.6697,0.55545,0.59001,0.4782,0.81177,0.0005942,0.0005942,0.0005942
73,252.318,0.55116,0.53951,0.45915,0.83039,0.99665,1,0.99417,0.86559,0.99665,1,0.99417,0.6697,0.55545,0.59001,0.4782,0.81177,0.0005744,0.0005744,0.0005744
74,257.716,0.55631,0.51875,0.47842,0.82808,0.99666,1,0.99421,0.87066,0.99666,1,0.99421,0.67868,0.5427,0.59136,0.47501,0.80866,0.0005546,0.0005546,0.0005546
75,260.213,0.57577,0.58917,0.45168,0.83067,0.99666,1,0.99421,0.87066,0.99666,1,0.99421,0.67868,0.5427,0.59136,0.47501,0.80866,0.0005348,0.0005348,0.0005348
76,264.07,0.5684,0.57068,0.49209,0.82351,0.99668,1,0.99424,0.87057,0.99668,1,0.99424,0.69055,0.54636,0.58607,0.47417,0.80819,0.000515,0.000515,0.000515
77,267.822,0.55599,0.51192,0.46295,0.82726,0.99668,1,0.99424,0.87057,0.99668,1,0.99424,0.69055,0.54636,0.58607,0.47417,0.80819,0.0004952,0.0004952,0.0004952
78,271.423,0.55303,0.56864,0.47742,0.82166,0.99669,1,0.99431,0.87063,0.99669,1,0.99431,0.68212,0.54488,0.59882,0.46236,0.80908,0.0004754,0.0004754,0.0004754
79,276.714,0.5418,0.55541,0.43171,0.83059,0.99669,1,0.99431,0.87063,0.99669,1,0.99431,0.68212,0.54488,0.59882,0.46236,0.80908,0.0004556,0.0004556,0.0004556
80,282.057,0.52414,0.50232,0.50117,0.83173,0.99671,1,0.99444,0.87409,0.99671,1,0.99444,0.6671,0.53604,0.61279,0.44659,0.80868,0.0004358,0.0004358,0.0004358
81,286.145,0.53163,0.53468,0.43901,0.81588,0.99671,1,0.99444,0.87409,0.99671,1,0.99444,0.6671,0.53604,0.61279,0.44659,0.80868,0.000416,0.000416,0.000416
82,290.064,0.54317,0.53164,0.44115,0.82667,0.99672,1,0.99446,0.87911,0.99672,1,0.99446,0.65886,0.51966,0.59987,0.43109,0.80684,0.0003962,0.0003962,0.0003962
83,294.553,0.5337,0.54594,0.43341,0.83003,0.99672,1,0.99446,0.87911,0.99672,1,0.99446,0.65886,0.51966,0.59987,0.43109,0.80684,0.0003764,0.0003764,0.0003764
84,299.92,0.55517,0.58321,0.53143,0.82785,0.9967,1,0.99447,0.87991,0.9967,1,0.99447,0.65837,0.51288,0.58267,0.42146,0.80674,0.0003566,0.0003566,0.0003566
85,303.7,0.55678,0.52611,0.44589,0.82995,0.9967,1,0.99447,0.87991,0.9967,1,0.99447,0.65837,0.51288,0.58267,0.42146,0.80674,0.0003368,0.0003368,0.0003368
86,308.184,0.52476,0.58259,0.41728,0.82943,0.99671,1,0.9945,0.88041,0.99671,1,0.9945,0.65796,0.51327,0.57558,0.41348,0.80724,0.000317,0.000317,0.000317
87,311.453,0.51178,0.47221,0.4336,0.83383,0.99671,1,0.9945,0.88041,0.99671,1,0.9945,0.65796,0.51327,0.57558,0.41348,0.80724,0.0002972,0.0002972,0.0002972
88,316.384,0.54697,0.58497,0.4533,0.82205,0.99673,1,0.99444,0.8757,0.99673,1,0.99444,0.65698,0.51756,0.57866,0.40852,0.80733,0.0002774,0.0002774,0.0002774
89,319.535,0.52015,0.52342,0.46695,0.82225,0.99673,1,0.99444,0.8757,0.99673,1,0.99444,0.65698,0.51756,0.57866,0.40852,0.80733,0.0002576,0.0002576,0.0002576
90,323.478,0.50849,0.53018,0.42042,0.82299,0.99672,1,0.99438,0.87449,0.99672,1,0.99438,0.65281,0.51915,0.5883,0.40524,0.80789,0.0002378,0.0002378,0.0002378
91,342.006,0.5414,0.58078,0.46481,0.81276,0.99672,1,0.99438,0.87449,0.99672,1,0.99438,0.65281,0.51915,0.5883,0.40524,0.80789,0.000218,0.000218,0.000218
92,344.985,0.51928,0.50812,0.46932,0.80562,0.99664,1,0.9944,0.87486,0.99664,1,0.9944,0.65575,0.51657,0.58541,0.40256,0.80672,0.0001982,0.0001982,0.0001982
93,350.114,0.51211,0.50019,0.49137,0.80941,0.99664,1,0.9944,0.87486,0.99664,1,0.9944,0.65575,0.51657,0.58541,0.40256,0.80672,0.0001784,0.0001784,0.0001784
94,355.173,0.52335,0.54712,0.43245,0.81524,0.99652,1,0.99442,0.87984,0.99652,1,0.99442,0.66155,0.5142,0.57497,0.4046,0.80584,0.0001586,0.0001586,0.0001586
95,358.098,0.5288,0.55306,0.43029,0.81447,0.99652,1,0.99442,0.87984,0.99652,1,0.99442,0.66155,0.5142,0.57497,0.4046,0.80584,0.0001388,0.0001388,0.0001388
96,362.087,0.52185,0.49375,0.48704,0.81659,0.99664,1,0.99443,0.8816,0.99664,1,0.99443,0.66339,0.51325,0.56775,0.40486,0.80566,0.000119,0.000119,0.000119
97,366.823,0.48897,0.47297,0.54827,0.81095,0.99664,1,0.99443,0.8816,0.99664,1,0.99443,0.66339,0.51325,0.56775,0.40486,0.80566,9.92e-05,9.92e-05,9.92e-05
98,371.739,0.50496,0.51937,0.56373,0.82049,0.99662,1,0.99446,0.88233,0.99662,1,0.99446,0.66695,0.51093,0.56482,0.40395,0.80536,7.94e-05,7.94e-05,7.94e-05
99,374.474,0.51794,0.54371,0.43493,0.8206,0.99662,1,0.99446,0.88233,0.99662,1,0.99446,0.66695,0.51093,0.56482,0.40395,0.80536,5.96e-05,5.96e-05,5.96e-05
100,377.922,0.5023,0.57003,0.4867,0.82573,0.99664,1,0.99448,0.88302,0.99664,1,0.99448,0.66962,0.50775,0.56364,0.40153,0.80511,3.98e-05,3.98e-05,3.98e-05
